LOGISTA France n°01,"Stanley Maxx, en 45 g",13.05,13.05
LOGISTA France n°01,"Stanley Maxx, en 65 g",18.85,18.85
LOGISTA France n°01,"Stanley mega, en 200 g",58,58
LOGISTA France n°01,"Stanley Maxx, en 110 g",31.9,31.9
LOGISTA France n°01,"Stanley Maxx, en 35 g",10.15,10.15
LOGISTA France n°01,"Stanley Maxx, en 55 g",15.95,15.95
LOGISTA France n°01,"Frérot blond l'Authentique, en 100 g",29,29
LOGISTA France n°01,"Frérot blond Original, en 20 g",5.8,5.8
LOGISTA France n°01,"Burton White pipe tobacco, en 20 g",,4.8
LOGISTA France n°01,"Solelhal (blague), en 20 g",,5.75
DAVIDOFF n°07,"1855 Erik Peter's blend, en 50 g",31,33
DAVIDOFF n°07,"1855 Erik Peter's blend (5 boîtes de 50g), en 250 g",155,165
DAVIDOFF n°07,"1957 Erik Michael's blend, en 50 g",31,33
DAVIDOFF n°07,"1957 Erik Michael's blend (5 boîtes de 50g), en 250 g",155,165
DAVIDOFF n°07,"Alsbo Black, en 50 g",22,23
DAVIDOFF n°07,"Alsbo Black (5 blagues de 50g), en 250 g",110,115
DAVIDOFF n°07,"Alsbo Bronze, en 50 g",19,Retrait
DAVIDOFF n°07,"Alsbo Bronze (5 blagues de 50g), en 250 g",95,Retrait
DAVIDOFF n°07,"Alsbo Gold, en 50 g",22,23
DAVIDOFF n°07,"Alsbo Gold (5 blagues de 50g), en 250 g",110,115
DAVIDOFF n°07,"Alsbo Ruby, en 50 g",22,23
DAVIDOFF n°07,"Alsbo Ruby (5 blagues de 50g), en 250 g",110,115
DAVIDOFF n°07,"Alsbo Silver, en 50 g",22,23
DAVIDOFF n°07,"Alsbo Silver (5 blagues de 50g), en 250 g",110,115
DAVIDOFF n°07,"Alsbo Sungold, en 50 g",22,23
DAVIDOFF n°07,"Alsbo Sungold (5 blagues de 50g), en 250 g",110,115
DAVIDOFF n°07,"Aran Mixture, en 40 g",21,22
DAVIDOFF n°07,"Aran Mixture (5 blagues de 40g), en 200 g",105,110
DAVIDOFF n°07,"Borkum Riff Bronze, en 50 g",17,Retrait
DAVIDOFF n°07,"Borkum Riff Bronze (5 blagues de 50g), en 250 g",85,Retrait
DAVIDOFF n°07,"Borkum Riff Edition limitée 2013, en 100 g",29,Retrait
DAVIDOFF n°07,"Borkum Riff Edition limitée 2013 (3 boîtes de 100g), en 300 g",87,Retrait
DAVIDOFF n°07,"Borkum Riff Edition limitée 2014, en 100 g",29,Retrait
DAVIDOFF n°07,"Borkum Riff Edition limitée 2014 (3 boîtes de 100g), en 300 g",87,Retrait
DAVIDOFF n°07,"Borkum Riff Licorice, en 30 g",6.6,Retrait
DAVIDOFF n°07,"Borkum Riff Licorice (5 blagues de 30g), en 150 g",33,Retrait
DAVIDOFF n°07,"Borkum Riff Orange, en 50 g",17,Retrait
DAVIDOFF n°07,"Borkum Riff Orange (5 blagues de 50g), en 250 g",85,Retrait
DAVIDOFF n°07,"Borkum Riff Raw blend (5 blagues de 40g), en 200 g",43,Retrait
DAVIDOFF n°07,"Borkum Riff Raw blend, en 40 g",8.6,Retrait
DAVIDOFF n°07,"Borkum Riff Ruby, en 50 g",20,21
DAVIDOFF n°07,"Borkum Riff Ruby (5 blagues de 50g), en 250 g",100,105
DAVIDOFF n°07,"Borkum Riff Sungold, en 50 g",20,21
DAVIDOFF n°07,"Borkum Riff Sungold (5 blagues de 50g), en 250 g",100,105
DAVIDOFF n°07,"Connemara Black, en 40 g",21,22
DAVIDOFF n°07,"Connemara Black (5 blagues de 40g), en 200 g",105,110
DAVIDOFF n°07,"Connoisseur's Choice, en 50 g",33,35
DAVIDOFF n°07,"Connoisseur's Choice (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"Davidoff Danish mixture, en 50 g",30,32
DAVIDOFF n°07,"Davidoff Danish mixture (5 boîtes de 50g), en 250 g",150,160
DAVIDOFF n°07,"Davidoff English mixture, en 50 g",30,32
DAVIDOFF n°07,"Davidoff English mixture (5 boîtes de 50g), en 250 g",150,160
DAVIDOFF n°07,"Davidoff Flake medaillons, en 50 g",32,34
DAVIDOFF n°07,"Davidoff Flake medaillons (5 boîtes de 50g), en 250 g",160,170
DAVIDOFF n°07,"Davidoff Royalty 100 % tabac, en 50 g",30,32
DAVIDOFF n°07,"Davidoff Royalty 100 % tabac (5 boîtes de 50g), en 250 g",150,160
DAVIDOFF n°07,"Davidoff Royalty 100 % tabac (2 boîtes de 50g), en 100 g DF",60,64
DAVIDOFF n°07,"Davidoff Danish mixture (2 boîtes de 50g), en 100g DF",60,64
DAVIDOFF n°07,"Davidoff Scottish mixture (2 boîtes de 50g), en 100g DF",60,64
DAVIDOFF n°07,"Davidoff Scottish mixture, en 50 g",30,32
DAVIDOFF n°07,"Davidoff Scottish mixture (5 boîtes de 50g), en 250 g",150,160
DAVIDOFF n°07,"De Luxe Mixture, en 50 g",33,35
DAVIDOFF n°07,"De Luxe Mixture (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"Irish Cask, en 50 g",33,35
DAVIDOFF n°07,"Irish Cask (5 blagues de 50g), en 250 g",165,175
DAVIDOFF n°07,"Irish Dew, en 40 g",21,22
DAVIDOFF n°07,"Irish Dew (5 blagues de 40g), en 200 g",105,110
DAVIDOFF n°07,"Irish Flake, en 50 g",33,Retrait
DAVIDOFF n°07,"Irish Flake (5 boîtes de 50g), en 250 g",165,Retrait
DAVIDOFF n°07,"Kings Crown Mixture, en 40 g",13,13
DAVIDOFF n°07,"Kings Crown Mixture (5 blagues de 40g), en 200 g",65,65
DAVIDOFF n°07,"Larsen Carmin, en 50 g",20,Retrait
DAVIDOFF n°07,"Larsen Carmin (5 blagues de 50g), en 250 g",100,Retrait
DAVIDOFF n°07,"Larsen Edition 2013, en 100 g",35,Retrait
DAVIDOFF n°07,"Larsen Golden, en 50 g",20,Retrait
DAVIDOFF n°07,"Larsen Golden (5 blagues de 50g), en 250 g",100,Retrait
DAVIDOFF n°07,"Larsen Unique, en 50 g",20,Retrait
DAVIDOFF n°07,"Larsen Unique (5 blagues de 50g), en 250 g",100,Retrait
DAVIDOFF n°07,"Night Cap, en 50 g",33,35
DAVIDOFF n°07,"Night Cap (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"Old Dublin, en 50 g",33,35
DAVIDOFF n°07,"Old Dublin (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"Orlik Kentucky bird, en 100 g",48,Retrait
DAVIDOFF n°07,"Orlik Kentucky bird, en 50 g",24,25
DAVIDOFF n°07,"Orlik Kentucky bird (3 boîtes de 100g), en 300 g",144,Retrait
DAVIDOFF n°07,"Orlik Kentucky bird (5 blagues de 50g), en 250 g",120,125
DAVIDOFF n°07,"Sherlock Holmes, en 50 g",33,35
DAVIDOFF n°07,"Sherlock Holmes (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"Stanwell Valley, en 50 g",19.5,Retrait
DAVIDOFF n°07,"Stanwell Valley (5 blagues de 50g), en 250 g",97.5,Retrait
DAVIDOFF n°07,"University Flake, en 50 g",33,35
DAVIDOFF n°07,"University Flake (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"Wild Atlantic Mixture, en 40 g",21,Retrait
DAVIDOFF n°07,"Wild Atlantic Mixture (5 blagues de 40g), en 200 g",105,Retrait
DAVIDOFF n°07,"Early Morning, en 50 g",33,35
DAVIDOFF n°07,"Early Morning (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"My Mixture, en 50 g",33,35
DAVIDOFF n°07,"My Mixture (5 boîtes de 50g), en 250 g",165,175
DAVIDOFF n°07,"Standard Mixture, en 50 g",33,35
DAVIDOFF n°07,"Standard Mixture (5 boîtes de 50g), en 250 g",165,175
BUTZ CHOQUIN n°19,"Sans souci, en 50 g ",94.5,94.5
PIPAL n°33,"Big Ben ice coupe large (pot), en 50 g",13,13
PIPAL n°33,"Big Ben coupe large (blague), en 20 g",4.8,4.8
PIPAL n°33,"Big Ben coupe large (blague), en 25 g",6,6
PIPAL n°33,"Big Ben coupe large (pot), en 50 g",12,12
PIPAL n°33,"Big Ben coupe large (pot), en 70 g",16.8,16.8
PIPAL n°33,"Big Ben ice coupe large (blague), en 30 g",7.8,7.8
PIPAL n°33,"Big Ben ice coupe large (pot), en 70 g",18.2,18.2
PIPAL n°33,"Big Ben ice coupe large, en 30 g",7.8,7.8
PIPIERE DE PARIS N° 40,"Big Ben ice coupe large (pot), en 50 g",13,13
PIPIERE DE PARIS N° 40,"Big Ben coupe large (blague), en 20 g",4.8,4.8
PIPIERE DE PARIS N° 40,"Big Ben coupe large (blague), en 25 g",6,6
PIPIERE DE PARIS N° 40,"Big Ben coupe large (pot), en 50 g",12,12
PIPIERE DE PARIS N° 40,"Big Ben coupe large (pot), en 70 g",16.8,16.8
PIPIERE DE PARIS N° 40,"Big Ben ice coupe large (blague), en 30 g",7.8,7.8
PIPIERE DE PARIS N° 40,"Big Ben ice coupe large (pot), en 70 g",18.2,18.2
PIPIERE DE PARIS N° 40,"Big Ben ice coupe large, en 30 g",7.8,7.8
EUROTAB N° 43,"Robert Mc Connel Cruise Line (pot), en 100 g",42,42
EUROTAB N° 43,"Samuel Gawith Balkan Flake (boite), en 50 g",29.5,29.5
EUROTAB N° 43,"Samuel Gawith Best Brown Flake (boite), en 50 g",29.5,29.5
EUROTAB N° 43,"Samuel Gawith Commonwealth (boite), en 50 g",29.5,29.5
EUROTAB N° 43,"Samuel Gawith Full Virginia Flake (boite), en 50 g",29.5,29.5
EUROTAB N° 43,"Samuel Gawith Skiff Mixture (boite), en 50 g",29.5,29.5
EUROTAB N° 43,"Samuel Gawith Squadrom Leader (boite), en 50 g",29.5,29.5
CHAPUIS COMOY N° 89,"Chacom n° 1, en 50 g",28,28
CHAPUIS COMOY N° 89,"Chacom n° 2, en 50 g",28,28
CHAPUIS COMOY N° 89,"Chacom n° 3, en 50 g  ",28,28
CHAPUIS COMOY N° 89,"Chacom n° 4, en 50 g  ",28,28
CHAPUIS COMOY N° 89,"Chacom n° 5, en 50 g  ",29,29
CHAPUIS COMOY N° 89,"Chacom n° 6, en 50 g ",29,29
ALBANA TOBACCO N° 119,"Bentley Pipe Tobacco The Classic One (Boite), en 50 g",32.5,32.5
ALBANA TOBACCO N° 119,"Bentley Pipe Tobacco The London Carmine (Boite), en 50 g",32.5,32.5
ALBANA TOBACCO N° 119,"Bentley Pipe Tobacco The Oriental Amber (Boite), en 50 g",32.5,32.5
ALBANA TOBACCO N° 119,"Bentley Pipe Tobacco The planters purpure (Boite), en 50 g",32.5,32.5
ALBANA TOBACCO N° 119,"Bentley Pipe Tobacco The Royal Gold (Boite), en 50 g",32.5,32.5
ALBANA TOBACCO N° 119,"Bentley Pipe Tobacco The Virginia Ruby (Boite), en 50 g",32.5,32.5
